Name,Description,URL
AI for Information Security,Helping customers achieve the highest levels of security in the cloud.,https://www.amazon.science/research-awards/call-for-proposals/ai-for-information-security-call-for-proposals-fall-2023
Automated Reasoning,Systems assurance by mathematical proof,https://www.amazon.science/research-awards/call-for-proposals/automated-reasoning-call-for-proposals-fall-2023
AWS AI,Advancing the frontiers of machine learning.,https://www.amazon.science/research-awards/call-for-proposals/aws-ai-call-for-proposals-fall-2023
AWS Cryptography and Privacy,Setting the standard for cryptography and privacy at Amazon.,https://www.amazon.science/research-awards/call-for-proposals/aws-cryptography-and-privacy-call-for-proposals-fall-2023
AWS Database Services,"Innovative approaches to designing, building, or operating large-scale database services or distributed cloud services. ",https://www.amazon.science/research-awards/call-for-proposals/aws-database-services-call-for-proposals-fall-2023
Sustainability,Making Amazon the most environmentally and socially responsible place to buy or sell goods and services.,https://www.amazon.science/research-awards/call-for-proposals/sustainability-ara-call-for-proposals-fall-2023
AWS AI: Generative AI,"AWS AI solicited funding proposals related to generative AI, which focused on innovation related to supporting annotators with machine learning and artificial intelligence.",https://www.amazon.science/research-awards/call-for-proposals/aws-ai-generative-ai-call-for-proposals-spring-2023
AWS AI,Advancing the frontiers of machine learning.,https://www.amazon.science/research-awards/call-for-proposals/aws-ai-call-for-proposals-fall-2022
Automated Reasoning,Systems assurance by mathematical proof,https://www.amazon.science/research-awards/call-for-proposals/aws-automated-reasoning-call-for-proposals-fall-2022
Prime Video,Pushing the boundaries of science and technology,https://www.amazon.science/research-awards/call-for-proposals/prime-video-call-for-proposals-fall-2022
Sustainability,"Welcoming proposals related to climate risk/resilience, life cycle assessment, circular strategies, and more.",https://www.amazon.science/research-awards/call-for-proposals/sustainability-fall-2022
AI for Information Security,Advancing cybersecurity with AI,https://www.amazon.science/research-awards/call-for-proposals/ai-for-information-security-call-for-proposals-spring-2022
Alexa: Fairness in AI,Building AI for everyone,https://www.amazon.science/research-awards/call-for-proposals/alexa-fairness-in-ai-call-for-proposals-spring-2022
Amazon Science Community and Machine Learning University,Making Amazon the best place in the world to do customer-obsessed science and engineering,https://www.amazon.science/research-awards/call-for-proposals/amazon-science-community-and-machine-learning-university-call-for-proposals-spring-2022
Amazon Advertising,Breakthroughs in online advertising,https://www.amazon.science/research-awards/call-for-proposals/amazon-advertising-call-for-proposals-spring-2022
AWS AI: Human-in-the-loop machine learning and annotation,Sharing learnings and ML capabilities as fully managed services,https://www.amazon.science/research-awards/call-for-proposals/aws-ai-human-in-the-loop-machine-learning-and-annotation-call-for-proposals-spring-2022
Alexa Fairness in AI,,https://www.amazon.science/research-awards/alexa-fairness-in-ai-call-for-proposals-winter-2022
AI for Information Security,Advancing cybersecurity with AI,https://www.amazon.science/research-awards/call-for-proposals/ai-for-information-security-call-for-proposals-fall-2021
Data for Social Sustainability,Advancing the use of data science for social good,https://www.amazon.science/research-awards/call-for-proposals/data-for-social-sustainability-call-for-proposal-fall-2021
Amazon Device Security and Privacy,Enabling trustworthy compute environment from edge to cloud,https://www.amazon.science/research-awards/call-for-proposals/amazon-device-security-and-privacy-call-for-proposal-fall-2021
Amazon Payments,"Breakthroughs in security, verification, and anomaly detection",https://www.amazon.science/research-awards/call-for-proposals/amazon-payments-call-for-proposal-fall-2021
AWS AI,Advancing the frontiers of machine learning,https://www.amazon.science/research-awards/call-for-proposals/aws-ai-call-for-proposals-fall-2021
AWS Automated Reasoning,"Security assurance, backed by mathematical proof",https://www.amazon.science/research-awards/call-for-proposals/aws-automated-reasoning-call-for-proposals-fall-2021
Prime Video - Automating Quality Analysis & Delivery,Solving audio/video challenges with machine learning,https://www.amazon.science/research-awards/call-for-proposals/prime-video-automating-quality-analysis-delivery-fall-2021
Robotics,Pursuing the future of robotics research,https://www.amazon.science/research-awards/call-for-proposals/robotics-call-for-proposals-fall-2021
Amazon Advertising - Summer 2021,Breakthroughs in online advertising,https://www.amazon.science/research-awards/call-for-proposals/amazon-advertising-call-for-proposals-summer-2021
Alexa Fairness in AI - Spring 2021,Building AI for everyone,https://www.amazon.science/research-awards/alexa-fairness-in-ai-call-for-proposals-spring-2021
AWS Automated Reasoning - Spring 2021,"Security assurance, backed by mathematical proof",https://www.amazon.science/research-awards/aws-automated-reasoning-call-for-proposals-spring-2021
AI for Information Security - Fall 2020,Advancing cybersecurity with AI,https://www.amazon.science/research-awards/call-for-proposals/ai-for-information-security
Alexa Fairness in AI - Fall 2020,Building AI for everyone,https://www.amazon.science/research-awards/call-for-proposals/alexa-fairness-in-ai
Robotics - Fall 2020,Pursuing the future of robotics research,https://www.amazon.science/research-awards/call-for-proposals/robotics
AWS AI - Fall 2020,Advancing the frontiers of machine learning,https://www.amazon.science/research-awards/call-for-proposals/aws-ai
AWS Automated Reasoning - Fall 2020,"Security assurance, backed by mathematical proof",https://www.amazon.science/research-awards/call-for-proposals/aws-automated-reasoning
