Name,URL
Opportunities for Indian Industries towards CERN Tenders,https://dst.gov.in/news/opportunities-indian-industries-towards-cern-tenders
List of candidates shortlisted for Interview under WISE Internship in IPR (WISE-IPR),https://dst.gov.in/news/list-candidates-shortlisted-interview-under-wise-internship-ipr-wise-ipr
BRICS 6th Call for proposal-2023,https://dst.gov.in/callforproposals/brics-6th-call-proposal-2023
DST CETP Call Module 04 (CCUS) Pre- proposal Submission,https://dst.gov.in/callforproposals/dst-cetp-call-module-04-ccus-pre-proposal-submission
Recent Announcements,https://dst.gov.in/announcement/recent-announcements
DST-Water Technology Cell (WTC)Project Proposals Call 2023,https://dst.gov.in/callforproposals/dst-water-technology-cell-wtcproject-proposals-call-2023
Campaign on Organ Donation Pledge,https://dst.gov.in/news/campaign-organ-donation-pledge
Call for Project Proposals under Technology Interventions for Disabled and Elderly (TIDE),https://dst.gov.in/callforproposals/call-project-proposals-under-technology-interventions-disabled-and-elderly-tide
Publication of the Notice for the companies who have availed soft loan and have pending loan amount,https://dst.gov.in/news/publication-notice-companies-who-have-availed-soft-loan-and-have-pending-loan-amount
Office Memorandum for the modification of arbitration clause in bi-partite agreement under DPRP of DST,https://dst.gov.in/news/office-memorandum-modification-arbitration-clause-bi-partite-agreement-under-dprp-dst
